Donor,Pledge,Contribution
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,5500000,3217873.93
Product (RED),150000000,137693851.6
Takeda Pharmaceutical,5252130.19,5252130.18
Bill & Melinda Gates Foundation,760000000,760000000
Catholic Relief Services,3000000,3000000
Children's Investment Fund Foundation,25000000,25000000
Comic Relief,17000000,16027519.94
Fondation Chanel,1550000,1550000
Rockefeller Foundation,15000000,15000000
FIFA Foundation,1500000,0
Tahir Foundation,30000000,0
Co-Impact,5050000,5050000
"KN Cam Ranh Co., Ltd.",1000000,1000000
Other Private Sector,87062344.4,11983571.89
Plan International and Plan Canada,2931889.94,1804239.96
United Nations Foundation,140030.73,140030.73
YMCA and Y's Men International,500000,300000
Cordaid,5000000,0
Human Crescent,10000000,0
Rotary Australia World Community Service and Rotarians Against Malaria,7200000,0
Australia,163773559.4,147396203.4
Azerbaijan,20000000,5800000
Belgium,49633265.31,49633265.31
Benin,1000000,1000000
Burkina Faso,1000832.15,1000832.15
Burundi,1000000,883922.86
Canada,868591189.3,868591189.3
Central African Republic,999001,423016.73
Chad,551480.73,551480.73
China,18000000,18000000
Congo (Democratic Republic),6000000,4000000
C̫te d'Ivoire,1500000,1419022.95
Denmark,55382434.17,55382434.17
Eswatini,6000000,6000000
European Commission,772073016,772073016.1
France,1429438041,1300788617
Germany,1615838526,1615838526
Greece,55148.07,55148.07
India,22000000,22000000
Ireland,55148072.57,55148072.57
Italy,177576793.7,169296654.9
Japan,840000000,840000000
Kenya,6000000,6000000
Korea (Republic),25000000,25000000
Kuwait,6500000,6500000
Luxembourg,12132575.96,12132575.96
Malta,330888.44,330888.45
Monaco,441184.58,441184.58
Namibia,1500000,1500000
Netherlands,201841945.6,201841945.6
New Zealand,6649778.33,6649778.33
Niger,1000000,1102394.8
Nigeria,12000000,10167052.5
Norway,303371402.9,303371402.9
Portugal,1231180.72,1231180.72
Qatar,50000000,50000000
Rwanda,2500000,2500000
Saudi Arabia,30000000,30000000
Senegal,1000000,1059260.81
South Africa,10000000,10000000
Spain,110296145.2,110296145.1
Sweden,300340046,269796990.5
Switzerland,114954119.2,114954119.2
Thailand,4500000,4500000
Togo,1000000,1000000
Uganda,2000000,1999999.89
Ukraine,80000,80000
United Arab Emirates,55148072.57,55148072.57
United Kingdom,1789544647,1717281603
United States,8180000000,7791792749
Zimbabwe,1000000,1000000
Armenia,15000000,0
Cameroon,4995005,0
Commitments to be personally secured by Bill Gates and Bono with the active support of France for the period 2020-2022,96724259.64,0
Congo,5500000,0
Equatorial Guinea,2205922.9,0
Madagascar,1000000,0
Mali,551480.73,0
Other Public,30896408.55,0
Zambia,5500000,0
